NOME_PRODUTO,Expediente,DataExpediente,NumProtocolo,Processo,Empresa,CNPJ,Assunto,EncontraSeNa,SituacaoAtual,DataInicio,URL,DiasDesdeExpediente,Fila ou Lista,"Area, fila e subfila",Posição Atual,Variação Posição
CAPTOPRIL,3335128/19-7,03/12/2019,2.5352663290201956e+16,25351460814,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10602 - GENÉRICO - Renovação de registro de medicamento - CLONE,"GEPRE.D - GERÊNCIA DE AVALIAÇÃO DE TECNOLOGIA DE PÓS-REGISTRO DE MEDICAMENTOS SINTÉTICOS
                            Desde: 03/12/2019",Petição encerrada,01/08/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/3335128197/,1556.0,,,,
CAPTOPRIL,6238544/21-5,13/12/2021,2.535221699120211e+16,25351460814,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10506 - GENÉRICO - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 13/12/2021",Anuído,17/03/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/6238544215/,815.0,,,,
Não consta,,,,nan,,,-,"- 
                        
                        Enc.:",,,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0483017142/,,,,,
Não consta,,,,nan,,,-,"- 
                        
                        Enc.:",,,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0341521190/,,,,,
cetoconazol,6968365/21-4,15/12/2021,2.5352452393202116e+16,25351006301,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10506 - GENÉRICO - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 15/12/2021",Anuído,07/03/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/6968365214/,813.0,,,,
cetoconazol,0676237/23-9,01/07/2023,2.023000000060973e+16,25351006301,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 15/02/2024",Anuído,15/02/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676237239/,250.0,,,,
cetoconazol,1354173/23-6,30/11/2023,2.0230000001230572e+16,25351417785,LABORATÓRIO GLOBO SA,17.115.437/0001-73,1411 - GENERICO - Cancelamento de Registro do Medicamento,"GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                            Desde: 29/12/2023",Publicado deferimento em 29/12/2023.,29/12/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1354173236/,98.0,,,,
cetoconazol,6968990/21-3,15/12/2021,2.53524570282022e+16,25351417785,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10506 - GENÉRICO - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 15/12/2021",Anuído,16/03/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/6968990213/,813.0,,,,
CETOMICOSS,0166124/18-8,02/03/2018,2.5352128501201828e+16,25351641565,LABORATÓRIO GLOBO SA,17.115.437/0001-73,142 - SIMILAR - Renovação de Registro de Medicamento,"GEPRE.D - GERÊNCIA DE AVALIAÇÃO DE TECNOLOGIA DE PÓS-REGISTRO DE MEDICAMENTOS SINTÉTICOS
                            Desde: 28/12/2018",Revalidação automática,09/07/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0166124188/,2197.0,,,,
CETOMICOSS,0676241/23-7,01/07/2023,2.023000000060958e+16,25351641565,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10297 - SIMILAR - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 21/02/2024",Anuído,21/02/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676241237/,250.0,,,,
CETOMICOSS,1354177/23-1,30/11/2023,2.0230000001230548e+16,25000024349,LABORATÓRIO GLOBO SA,17.115.437/0001-73,1621 - SIMILAR - Cancelamento de Registro do Medicamento,"GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                            Desde: 29/12/2023",Publicado deferimento em 29/12/2023.,29/12/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1354177231/,98.0,,,,
CETOMICOSS,938559/10-2,13/12/2010,2.535286120420109e+16,25000024349,LABORATÓRIO GLOBO SA,17.115.437/0001-73,142 - SIMILAR - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 07/06/2011",Revalidação automática,26/08/2011,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/938559102/,4833.0,,,,
Ciclopirox- olamina,0409039/13-0,22/05/2013,2.535231175720133e+16,25351377964,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 24/05/2013",Revalidação automática,30/10/2014,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0409039130/,3942.0,,,,
Ciclopirox- olamina,0268684/18-8,05/04/2018,2.5352212565201816e+16,25351377964,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                            Desde: 30/10/2018",Revalidação automática,08/07/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0268684188/,2163.0,,,,
ciprofibrato,0676412/23-6,02/07/2023,2.0230000000609836e+16,25351743313,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 05/02/2024",Anuído,05/02/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676412236/,249.0,,,,
CIPROFLOXATRIN,0676404/23-5,02/07/2023,2.023000000060987e+16,25351460815,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10297 - SIMILAR - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 21/02/2024",Anuído,21/02/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676404235/,249.0,,,,
CIPROFLOXATRIN,0958498/19-6,25/07/2019,2.535281055520191e+16,25351460815,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10592 - SIMILAR - Renovação de registro de medicamento - CLONE,"GEPRE.D - GERÊNCIA DE AVALIAÇÃO DE TECNOLOGIA DE PÓS-REGISTRO DE MEDICAMENTOS SINTÉTICOS
                            Desde: 25/07/2019",Petição encerrada,01/08/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0958498196/,1687.0,,,,
CIPROFLOXATRIN,6238805/21-3,13/12/2021,2.53522182622021e+16,25351460815,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10507 - SIMILAR - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 04/03/2022",Anuído,04/03/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/6238805213/,815.0,,,,
CLORIDRATO DE AMBROXOL,0676362/23-6,01/07/2023,2.023000000060983e+16,25351071876,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 15/02/2024",Anuído,15/02/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676362236/,250.0,,,,
CLORIDRATO DE AMBROXOL,3431466/19-1,12/12/2019,2.5352771242201932e+16,25351071876,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10506 - GENÉRICO - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 21/05/2020",Aprovação condicional – ausência de manifestação no prazo legal em 01/06/2020.,21/05/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/3431466191/,1547.0,,,,
CLORIDRATO DE AMBROXOL,6969560/21-1,15/12/2021,2.535245850920211e+16,25351071876,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10506 - GENÉRICO - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 15/12/2021",Anuído,14/03/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/6969560211/,813.0,,,,
Cloridrato de Bromexina,0679310/12-0,22/08/2012,2.5352543741201212e+16,25351184926,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10200 - GENÉRICO - Alteração moderada de excipiente,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                            Desde: 15/08/2018",Aprovação condicional – ausência de manifestação no prazo legal em 10/09/2018.,15/08/2018,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0679310120/,4215.0,,,,
Cloridrato de Bromexina,0705799/12-7,30/08/2012,2.535256426920122e+16,25351184926,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 03/09/2012",Revalidação automática,12/09/2013,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0705799127/,4207.0,,,,
Cloridrato de Bromexina,0667313/17-9,19/04/2017,2.5352570150201744e+16,25351184926,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"GEPRE.D - GERÊNCIA DE AVALIAÇÃO DE TECNOLOGIA DE PÓS-REGISTRO DE MEDICAMENTOS SINTÉTICOS
                            Desde: 06/02/2018",Revalidação automática,19/04/2018,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0667313179/,2514.0,,,,
cloridrato de ciclobenzaprina,0676370/23-7,02/07/2023,2.023000000060983e+16,25351507020,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 31/01/2024",Anuído,31/01/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676370237/,249.0,,,,
CLORIDRATO DE CIPROFLOXACINO,0676402/23-9,02/07/2023,2.023000000060987e+16,25351516805,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 31/01/2024",Anuído,31/01/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676402239/,249.0,,,,
CLORIDRATO DE CIPROFLOXACINO,0612511/12-5,24/07/2012,2.5352490313201252e+16,25351516805,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 27/02/2013",Revalidação automática,12/09/2013,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0612511125/,4244.0,,,,
CLORIDRATO DE CIPROFLOXACINO,0667414/17-3,19/04/2017,2.535257024720172e+16,25351516805,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"GEPRE.D - GERÊNCIA DE AVALIAÇÃO DE TECNOLOGIA DE PÓS-REGISTRO DE MEDICAMENTOS SINTÉTICOS
                            Desde: 06/02/2018",Revalidação automática,19/04/2018,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0667414173/,2514.0,,,,
CLORIDRATO DE FLUOXETINA,0402979/18-8,15/05/2018,2.5352325740201824e+16,25351623125,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11022 - RDC 73/2016 - GENÉRICO - Inclusão de local de fabricação de medicamento de liberação convencional,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 06/03/2020",Mudança implementada,25/08/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0402979188/,2123.0,,,,
CLORIDRATO DE FLUOXETINA,1973017/19-9,12/08/2019,2.535276399820191e+16,25351623125,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                            Desde: 09/09/2019",Petição encerrada,01/08/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1973017199/,1669.0,,,,
CLORIDRATO DE FLUOXETINA,1666519/20-8,26/05/2020,2.535255777420201e+16,25351623125,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11022 - RDC 73/2016 - GENÉRICO - Inclusão de local de fabricação de medicamento de liberação convencional,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 02/06/2020",Mudança implementada,25/08/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1666519208/,1381.0,,,,
Não consta,1022174/23-1,26/09/2023,2.023000000092373e+16,25351437991,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"70745 - Defesa prévia de Auto de Infração Sanitária de Insumos Farmacêuticos, Medicamentos, Produtos para Saúde, Alimentos, Saneantes Domissanitários, Cosméticos, Perfumes e Produtos de Higiene","COPAS - COORDENAÇÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO
                            Desde: 26/09/2023",Distribuído para a área responsável,26/09/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1022174231/,163.0,,,,
CLORIDRATO DE HIDROXIZINE,0676416/23-9,02/07/2023,2.0230000000609836e+16,25351408222,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 21/02/2024",Anuído,21/02/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676416239/,249.0,,,,
CLORIDRATO DE HIDROXIZINE,2651394/19-3,30/10/2019,2.535291820420196e+16,25351408222,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10938 - RDC 73/2016 - GENÉRICO - Substituição de fabricante do IFA,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 17/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 27/04/2020.,17/04/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651394193/,1590.0,,,,
CLORIDRATO DE HIDROXIZINE,2651446/19-0,30/10/2019,2.535291825320199e+16,25351408222,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10953 - RDC 73/2016 - GENÉRICO - Ampliação dos limites de especificação,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 17/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 27/04/2020.,17/04/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651446190/,1590.0,,,,
CLORIDRATO DE HIDROXIZINE,2651499/19-1,30/10/2019,2.5352918300201904e+16,25351408222,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10953 - RDC 73/2016 - GENÉRICO - Ampliação dos limites de especificação,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 17/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 27/04/2020.,17/04/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651499191/,1590.0,,,,
CLORIDRATO DE HIDROXIZINE,2651527/19-0,30/10/2019,2.535291839220191e+16,25351408222,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10956 - RDC 73/2016 - GENÉRICO - Mudança maior de método analítico,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 17/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 27/04/2020.,17/04/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651527190/,1590.0,,,,
CLORIDRATO DE HIDROXIZINE,2651539/19-3,30/10/2019,2.5352918434201916e+16,25351408222,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10956 - RDC 73/2016 - GENÉRICO - Mudança maior de método analítico,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 17/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 27/04/2020.,17/04/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651539193/,1590.0,,,,
CLORIDRATO DE HIDROXIZINE,2651666/19-7,30/10/2019,2.5352918440201976e+16,25351408222,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10953 - RDC 73/2016 - GENÉRICO - Ampliação dos limites de especificação,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 17/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 27/04/2020.,17/04/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651666197/,1590.0,,,,
CLORIDRATO DE HIDROXIZINE,2651777/19-9,30/10/2019,2.5352918524201916e+16,25351408222,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10956 - RDC 73/2016 - GENÉRICO - Mudança maior de método analítico,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 17/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 27/04/2020.,17/04/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2651777199/,1590.0,,,,
